filename,width,height,class,xmin,ymin,xmax,ymax
1211.png,29,218,Smoke,1164,333,1193,551
0508.png,95,155,Smoke,823,394,918,549
1525.png,23,151,Smoke,1212,423,1235,574
0050.png,150,97,Smoke,1770,457,1920,554
0197.png,55,97,Smoke,450,445,505,542
0355.png,57,57,Smoke,1773,313,1830,370
1510.png,132,155,Smoke,1247,398,1379,553
0782.png,170,67,Smoke,569,489,739,556
1344.png,57,57,Smoke,1773,313,1830,370
1076.png,99,59,Smoke,1688,575,1787,634
1777.png,23,151,Smoke,1215,416,1238,567
1331.png,23,151,Smoke,1212,427,1235,578
1200.png,179,109,Smoke,1741,458,1920,567
0763.png,111,221,Smoke,1019,321,1130,542
1671.png,155,48,Smoke,1722,579,1877,627
1710.png,132,155,Smoke,1246,397,1378,552
0787.png,55,80,Smoke,546,424,601,504
1021.png,23,113,Smoke,1214,468,1237,581
0241.png,55,84,Smoke,450,460,505,544
1556.png,50,128,Smoke,1431,411,1481,539
1416.png,80,48,Smoke,414,514,494,562
0836.png,99,59,Smoke,1690,577,1789,636
1168.png,23,113,Smoke,1213,471,1236,584
0613.png,50,128,Smoke,1434,423,1484,551
1259.png,76,250,Smoke,1613,387,1689,637
0889.png,57,57,Smoke,1773,313,1830,370
0231.png,141,147,Smoke,1231,408,1372,555
0716.png,50,128,Smoke,1433,424,1483,552
1585.png,141,67,Smoke,1758,377,1899,444
1159.png,55,80,Smoke,546,424,601,504
0310.png,55,46,Smoke,552,484,607,530
1720.png,141,67,Smoke,1758,372,1899,439
1361.png,130,227,Smoke,1022,324,1152,551
0509.png,50,116,Smoke,1431,428,1481,544
0979.png,124,174,Smoke,1253,379,1377,553
0822.png,55,80,Smoke,546,424,601,504
0423.png,23,113,Smoke,1214,464,1237,577
0042.png,32,158,Smoke,948,388,980,546
0031.png,145,116,Smoke,1201,428,1346,544
0287.png,76,92,Smoke,1768,310,1844,402
1660.png,113,57,Smoke,629,495,742,552
0864.png,111,233,Smoke,1021,318,1132,551
0979.png,80,48,Smoke,414,514,494,562
1407.png,80,48,Smoke,414,514,494,562
1256.png,179,109,Smoke,1741,458,1920,567
1438.png,130,227,Smoke,1023,321,1153,548
0745.png,50,128,Smoke,1432,424,1482,552
1471.png,170,57,Smoke,563,504,733,561
0681.png,124,174,Smoke,1251,378,1375,552
0443.png,76,118,Smoke,1771,311,1847,429
1058.png,29,218,Smoke,1163,353,1192,571
1200.png,124,174,Smoke,1254,377,1378,551
1163.png,80,48,Smoke,414,514,494,562
0985.png,50,128,Smoke,1431,424,1481,552
0310.png,76,92,Smoke,1768,310,1844,402
1717.png,80,48,Smoke,414,514,494,562
1241.png,84,67,Smoke,1760,376,1844,443
0470.png,57,57,Smoke,1773,313,1830,370
0374.png,124,174,Smoke,1250,378,1374,552
0005.png,74,99,Smoke,628,447,702,546
1310.png,101,107,Smoke,635,446,736,553
1109.png,50,128,Smoke,1431,422,1481,550
0512.png,65,197,Smoke,1617,422,1682,619
1481.png,141,67,Smoke,1758,373,1899,440
1008.png,50,128,Smoke,1431,423,1481,551
1463.png,57,57,Smoke,1758,304,1815,361
1387.png,80,48,Smoke,414,514,494,562
1277.png,57,57,Smoke,1773,313,1830,370
0942.png,124,174,Smoke,1253,379,1377,553
0714.png,76,250,Smoke,1611,396,1687,646
0911.png,32,158,Smoke,963,380,995,538
0554.png,95,155,Smoke,824,394,919,549
0431.png,55,80,Smoke,546,422,601,502
1244.png,101,107,Smoke,635,446,736,553
1100.png,55,80,Smoke,546,424,601,504
1719.png,23,151,Smoke,1211,418,1234,569
1311.png,32,170,Smoke,962,378,994,548
1452.png,132,155,Smoke,1247,396,1379,551
1187.png,99,59,Smoke,1688,572,1787,631
0916.png,76,118,Smoke,1770,316,1846,434
0005.png,23,113,Smoke,1214,464,1237,577
0976.png,111,233,Smoke,1026,315,1137,548
0337.png,55,46,Smoke,552,484,607,530
1250.png,97,82,Smoke,815,460,912,542
0087.png,48,34,Smoke,559,483,607,517
0806.png,174,109,Smoke,1746,450,1920,559
1288.png,99,59,Smoke,1689,575,1788,634
0898.png,76,118,Smoke,1770,317,1846,435
1530.png,55,80,Smoke,546,424,601,504
0903.png,143,71,Smoke,596,483,739,554
0722.png,55,80,Smoke,546,424,601,504
1054.png,80,48,Smoke,414,514,494,562
0022.png,107,195,Smoke,991,357,1098,552
1563.png,130,227,Smoke,1025,312,1155,539
0999.png,80,48,Smoke,414,514,494,562
0628.png,50,128,Smoke,1435,423,1485,551
0798.png,32,158,Smoke,963,389,995,547
1125.png,124,174,Smoke,1254,377,1378,551
0600.png,76,118,Smoke,1770,308,1846,426
1329.png,76,250,Smoke,1617,383,1693,633
0565.png,97,120,Smoke,647,426,744,546
1455.png,103,55,Smoke,816,497,919,552
1711.png,55,80,Smoke,546,424,601,504
0032.png,57,57,Smoke,1773,313,1830,370
0540.png,160,109,Smoke,1760,449,1920,558
1614.png,141,67,Smoke,1759,378,1900,445
1584.png,23,151,Smoke,1212,424,1235,575
1367.png,128,59,Smoke,1691,578,1819,637
1797.png,32,170,Smoke,966,388,998,558
0836.png,76,118,Smoke,1771,302,1847,420
1223.png,179,109,Smoke,1741,458,1920,567
0477.png,142,109,Smoke,1778,446,1920,555
0331.png,76,95,Smoke,665,434,741,529
0311.png,95,139,Smoke,821,410,916,549
0191.png,107,195,Smoke,1021,350,1128,545
0604.png,99,59,Smoke,1692,576,1791,635
0735.png,174,109,Smoke,1746,449,1920,558
1509.png,32,170,Smoke,962,375,994,545
1765.png,181,109,Smoke,1739,457,1920,566
1671.png,55,80,Smoke,546,424,601,504
0572.png,29,218,Smoke,1163,355,1192,573
1400.png,155,48,Smoke,1718,577,1873,625
1566.png,23,151,Smoke,1212,422,1235,573
0879.png,29,218,Smoke,1163,355,1192,573
0174.png,57,48,Smoke,1704,577,1761,625
0356.png,32,158,Smoke,962,387,994,545
0559.png,50,128,Smoke,1434,423,1484,551
0407.png,65,197,Smoke,1617,422,1682,619
1385.png,141,67,Smoke,1759,374,1900,441
0232.png,32,158,Smoke,962,387,994,545
0886.png,55,80,Smoke,546,424,601,504
0309.png,76,92,Smoke,1768,310,1844,402
1432.png,101,107,Smoke,635,446,736,553
0917.png,76,118,Smoke,1770,316,1846,434
1025.png,124,174,Smoke,1253,377,1377,551
0241.png,55,46,Smoke,552,484,607,530
0280.png,50,116,Smoke,1431,428,1481,544
0449.png,23,113,Smoke,1214,464,1237,577
0546.png,80,48,Smoke,415,513,495,561
0915.png,80,48,Smoke,414,514,494,562
1506.png,141,67,Smoke,1757,376,1898,443
0903.png,76,250,Smoke,1614,390,1690,640
1450.png,180,109,Smoke,1740,456,1920,565
1774.png,23,151,Smoke,1214,416,1237,567
1544.png,180,109,Smoke,1740,457,1920,566
1605.png,141,67,Smoke,1759,377,1900,444
0869.png,111,233,Smoke,1020,318,1131,551
1661.png,80,48,Smoke,414,514,494,562
0986.png,76,250,Smoke,1615,390,1691,640
0242.png,141,86,Smoke,1779,456,1920,542
0073.png,23,113,Smoke,1214,464,1237,577
0456.png,76,118,Smoke,1771,310,1847,428
0542.png,50,128,Smoke,1435,421,1485,549
0754.png,29,218,Smoke,1163,355,1192,573
1170.png,57,57,Smoke,1773,313,1830,370
0779.png,170,67,Smoke,569,489,739,556
0975.png,179,109,Smoke,1741,456,1920,565
1376.png,180,109,Smoke,1740,459,1920,568
1283.png,124,174,Smoke,1255,377,1379,551
0666.png,111,221,Smoke,1020,323,1131,544
0886.png,57,57,Smoke,1773,313,1830,370
1775.png,122,78,Smoke,814,476,936,554
0758.png,50,128,Smoke,1432,425,1482,553
1454.png,50,128,Smoke,1431,412,1481,540
1653.png,155,48,Smoke,1722,579,1877,627
0760.png,124,174,Smoke,1251,379,1375,553
1506.png,130,227,Smoke,1024,319,1154,546
0449.png,124,174,Smoke,1250,378,1374,552
0190.png,29,218,Smoke,1162,349,1191,567
0773.png,111,233,Smoke,1019,321,1130,554
0393.png,65,197,Smoke,1616,422,1681,619
0427.png,86,107,Smoke,656,431,742,538
0286.png,55,84,Smoke,450,460,505,544
1234.png,179,109,Smoke,1741,458,1920,567
0076.png,55,143,Smoke,446,387,501,530
0130.png,57,48,Smoke,1705,577,1762,625
0254.png,23,113,Smoke,1214,464,1237,577
0814.png,32,158,Smoke,963,386,995,544
1783.png,80,48,Smoke,414,514,494,562
0101.png,65,197,Smoke,1618,422,1683,619
1117.png,80,48,Smoke,414,514,494,562
1684.png,32,170,Smoke,966,380,998,550
1313.png,130,227,Smoke,1019,325,1149,552
1484.png,130,227,Smoke,1024,319,1154,546
0880.png,80,48,Smoke,414,514,494,562
0926.png,174,109,Smoke,1746,452,1920,561
0636.png,97,120,Smoke,647,432,744,552
1258.png,29,218,Smoke,1164,335,1193,553
0813.png,32,158,Smoke,963,386,995,544
0455.png,55,84,Smoke,450,460,505,544
0748.png,124,174,Smoke,1251,379,1375,553
1134.png,55,80,Smoke,546,424,601,504
0091.png,29,218,Smoke,1164,355,1193,573
0031.png,29,170,Smoke,1143,379,1172,549
1153.png,179,109,Smoke,1741,458,1920,567
0731.png,29,218,Smoke,1163,355,1192,573
1643.png,113,57,Smoke,629,495,742,552
1372.png,29,218,Smoke,1164,337,1193,555
0872.png,57,57,Smoke,1773,313,1830,370
1189.png,124,174,Smoke,1254,377,1378,551
1255.png,84,67,Smoke,1760,375,1844,442
1184.png,99,59,Smoke,1688,573,1787,632
0697.png,23,113,Smoke,1213,467,1236,580
0986.png,99,59,Smoke,1689,577,1788,636
0817.png,29,218,Smoke,1163,355,1192,573
0098.png,76,92,Smoke,1768,309,1844,401
0912.png,174,109,Smoke,1746,451,1920,560
0255.png,23,113,Smoke,1214,464,1237,577
0537.png,97,120,Smoke,647,425,744,545
0128.png,57,48,Smoke,1705,577,1762,625
1026.png,76,250,Smoke,1615,390,1691,640
0876.png,174,109,Smoke,1746,451,1920,560
1539.png,23,151,Smoke,1212,423,1235,574
1550.png,155,48,Smoke,1721,582,1876,630
0180.png,57,57,Smoke,1773,313,1830,370
0115.png,55,143,Smoke,446,385,501,528
0776.png,109,179,Smoke,813,366,922,545
1761.png,76,258,Smoke,1624,383,1700,641
0969.png,179,109,Smoke,1741,457,1920,566
0898.png,76,250,Smoke,1613,391,1689,641
0328.png,144,113,Smoke,1776,444,1920,557
0781.png,174,109,Smoke,1746,449,1920,558
0009.png,107,195,Smoke,992,355,1099,550
0735.png,160,57,Smoke,580,501,740,558
0751.png,99,59,Smoke,1692,575,1791,634
1472.png,170,57,Smoke,563,502,733,559
0664.png,29,218,Smoke,1163,358,1192,576
0580.png,124,174,Smoke,1250,378,1374,552
0328.png,76,92,Smoke,1768,310,1844,402
0758.png,109,179,Smoke,813,368,922,547
0701.png,29,218,Smoke,1163,357,1192,575
1430.png,101,107,Smoke,635,446,736,553
1087.png,55,80,Smoke,546,424,601,504
0138.png,32,158,Smoke,962,387,994,545
0571.png,109,155,Smoke,809,395,918,550
1100.png,124,174,Smoke,1253,377,1377,551
1213.png,179,109,Smoke,1741,458,1920,567
0048.png,32,158,Smoke,953,388,985,546
0780.png,55,80,Smoke,546,424,601,504
1302.png,32,170,Smoke,962,378,994,548
1790.png,122,78,Smoke,814,476,936,554
0063.png,23,113,Smoke,1214,464,1237,577
1320.png,124,174,Smoke,1255,377,1379,551
0970.png,23,113,Smoke,1214,468,1237,581
0196.png,32,158,Smoke,962,387,994,545
0968.png,99,59,Smoke,1688,577,1787,636
1441.png,50,128,Smoke,1431,412,1481,540
0878.png,107,179,Smoke,814,371,921,550
0382.png,144,113,Smoke,1776,444,1920,557
0579.png,50,128,Smoke,1435,423,1485,551
1539.png,29,218,Smoke,1164,343,1193,561
1299.png,32,170,Smoke,962,378,994,548
1737.png,99,55,Smoke,642,498,741,553
0670.png,57,57,Smoke,1773,313,1830,370
1340.png,32,170,Smoke,962,378,994,548
1554.png,180,109,Smoke,1740,457,1920,566
0030.png,76,92,Smoke,1740,311,1816,403
1735.png,128,246,Smoke,1025,318,1153,564
1400.png,80,48,Smoke,414,514,494,562
0182.png,57,48,Smoke,1704,577,1761,625
0487.png,23,113,Smoke,1214,464,1237,577
0760.png,57,57,Smoke,1773,313,1830,370
1278.png,179,109,Smoke,1741,458,1920,567
1716.png,23,151,Smoke,1211,418,1234,569
1049.png,74,74,Smoke,1769,361,1843,435
1741.png,23,151,Smoke,1212,417,1235,568
1654.png,23,151,Smoke,1210,423,1233,574
0157.png,55,143,Smoke,445,385,500,528
0092.png,57,57,Smoke,1773,313,1830,370
1716.png,122,78,Smoke,812,473,934,551
0793.png,76,118,Smoke,1772,302,1848,420
1755.png,99,55,Smoke,642,498,741,553
0186.png,141,147,Smoke,1231,408,1372,555
1704.png,128,246,Smoke,1022,313,1150,559
0862.png,107,179,Smoke,814,369,921,548
1179.png,50,128,Smoke,1431,420,1481,548
1172.png,101,107,Smoke,635,446,736,553
1230.png,99,59,Smoke,1687,574,1786,633
0145.png,147,97,Smoke,1773,451,1920,548
0199.png,23,113,Smoke,1214,464,1237,577
1407.png,55,80,Smoke,546,424,601,504
0217.png,74,99,Smoke,666,432,740,531
0804.png,32,158,Smoke,963,386,995,544
0094.png,107,195,Smoke,1022,357,1129,552
1155.png,29,218,Smoke,1164,331,1193,549
0144.png,145,116,Smoke,1226,427,1371,543
1268.png,97,82,Smoke,815,459,912,541
0928.png,55,80,Smoke,546,424,601,504
1183.png,57,57,Smoke,1773,313,1830,370
0612.png,23,113,Smoke,1214,465,1237,578
0300.png,50,116,Smoke,1431,428,1481,544
0343.png,144,113,Smoke,1776,443,1920,556
0296.png,29,218,Smoke,1163,356,1192,574
1326.png,124,174,Smoke,1256,377,1380,551
1511.png,103,55,Smoke,819,502,922,557
1126.png,55,80,Smoke,546,424,601,504
0240.png,69,86,Smoke,670,444,739,530
0877.png,99,59,Smoke,1687,578,1786,637
1241.png,29,218,Smoke,1164,331,1193,549
1308.png,130,227,Smoke,1020,324,1150,551
1152.png,55,80,Smoke,546,424,601,504
0753.png,160,57,Smoke,580,501,740,558
0510.png,97,120,Smoke,646,424,743,544
0823.png,99,59,Smoke,1689,577,1788,636
1587.png,132,155,Smoke,1246,396,1378,551
0276.png,149,86,Smoke,1771,452,1920,538
0412.png,76,105,Smoke,1769,311,1845,416
0124.png,145,116,Smoke,1226,427,1371,543
0842.png,111,233,Smoke,1019,320,1130,553
1245.png,124,174,Smoke,1255,375,1379,549
0885.png,55,80,Smoke,546,424,601,504
1247.png,84,67,Smoke,1760,376,1844,443
0386.png,29,218,Smoke,1163,357,1192,575
1566.png,50,128,Smoke,1431,412,1481,540
0440.png,55,80,Smoke,546,422,601,502
0084.png,74,99,Smoke,663,443,737,542
1447.png,181,109,Smoke,1739,456,1920,565
0300.png,23,113,Smoke,1214,464,1237,577
0115.png,32,158,Smoke,962,387,994,545
1560.png,57,57,Smoke,1761,304,1818,361
0117.png,32,158,Smoke,962,387,994,545
0284.png,57,57,Smoke,1773,313,1830,370
1269.png,57,57,Smoke,1773,313,1830,370
0698.png,149,57,Smoke,591,500,740,557
1690.png,23,151,Smoke,1210,421,1233,572
1325.png,76,250,Smoke,1616,382,1692,632
0263.png,107,221,Smoke,1022,323,1129,544
1067.png,29,218,Smoke,1163,344,1192,562
1535.png,155,48,Smoke,1721,581,1876,629
1159.png,101,107,Smoke,635,446,736,553
0958.png,32,158,Smoke,962,381,994,539
0098.png,50,116,Smoke,1433,432,1483,548
0062.png,76,92,Smoke,1770,309,1846,401
1389.png,130,227,Smoke,1022,325,1152,552
0155.png,55,143,Smoke,445,385,500,528
1493.png,141,67,Smoke,1757,373,1898,440
0725.png,23,113,Smoke,1213,467,1236,580
0888.png,55,80,Smoke,546,424,601,504
0452.png,57,57,Smoke,1773,313,1830,370
1072.png,80,48,Smoke,414,514,494,562
1477.png,57,57,Smoke,1759,304,1816,361
1590.png,113,57,Smoke,628,497,741,554
1347.png,29,218,Smoke,1164,333,1193,551
0743.png,29,218,Smoke,1163,355,1192,573
0571.png,29,218,Smoke,1163,355,1192,573
1341.png,101,107,Smoke,635,446,736,553
0165.png,32,158,Smoke,962,387,994,545
1210.png,80,48,Smoke,414,514,494,562
1600.png,23,151,Smoke,1211,421,1234,572
1144.png,50,128,Smoke,1431,421,1481,549
1617.png,29,218,Smoke,1162,333,1191,551
0289.png,69,86,Smoke,670,439,739,525
1339.png,50,128,Smoke,1431,418,1481,546
0616.png,99,59,Smoke,1692,576,1791,635
1410.png,50,128,Smoke,1432,415,1482,543
0544.png,80,48,Smoke,415,513,495,561
1284.png,124,174,Smoke,1255,377,1379,551
0344.png,55,46,Smoke,552,484,607,530
0327.png,23,113,Smoke,1214,464,1237,577
0511.png,55,80,Smoke,546,424,601,504
1650.png,141,67,Smoke,1759,373,1900,440
0391.png,55,84,Smoke,450,460,505,544
0648.png,29,218,Smoke,1163,357,1192,575
1219.png,97,151,Smoke,816,393,913,544
1047.png,55,80,Smoke,546,424,601,504
0829.png,76,250,Smoke,1614,394,1690,644
1732.png,128,246,Smoke,1025,317,1153,563
0238.png,141,147,Smoke,1231,408,1372,555
0178.png,76,92,Smoke,1768,309,1844,401
0127.png,74,99,Smoke,666,437,740,536
0551.png,50,128,Smoke,1435,421,1485,549
1133.png,57,57,Smoke,1773,313,1830,370
1105.png,55,80,Smoke,546,424,601,504
0930.png,99,59,Smoke,1687,577,1786,636
0155.png,65,197,Smoke,1617,422,1682,619
1074.png,76,250,Smoke,1615,389,1691,639
0982.png,57,57,Smoke,1773,313,1830,370
0839.png,174,109,Smoke,1746,450,1920,559
0387.png,23,113,Smoke,1214,464,1237,577
1127.png,55,80,Smoke,546,424,601,504
1741.png,141,67,Smoke,1759,371,1900,438
0695.png,99,59,Smoke,1692,576,1791,635
1457.png,23,151,Smoke,1212,423,1235,574
1392.png,50,128,Smoke,1431,415,1481,543
0924.png,174,109,Smoke,1746,452,1920,561
1409.png,90,67,Smoke,815,489,905,556
0437.png,55,84,Smoke,450,460,505,544
1565.png,155,48,Smoke,1722,583,1877,631
1247.png,50,128,Smoke,1431,419,1481,547
0618.png,124,174,Smoke,1251,377,1375,551
1462.png,180,109,Smoke,1740,457,1920,566
0654.png,55,80,Smoke,546,424,601,504
1702.png,155,48,Smoke,1722,579,1877,627
1015.png,80,48,Smoke,414,514,494,562
0293.png,23,113,Smoke,1214,464,1237,577
1207.png,76,250,Smoke,1613,390,1689,640
0180.png,29,218,Smoke,1163,348,1192,566
0824.png,23,113,Smoke,1214,470,1237,583
1124.png,50,128,Smoke,1431,421,1481,549
1496.png,32,170,Smoke,962,373,994,543
0457.png,124,174,Smoke,1250,378,1374,552
0937.png,23,113,Smoke,1214,467,1237,580
0323.png,76,92,Smoke,1768,310,1844,402
1750.png,132,155,Smoke,1246,397,1378,552
0466.png,86,107,Smoke,657,427,743,534
0850.png,170,90,Smoke,567,466,737,556
1401.png,181,109,Smoke,1739,457,1920,566
0976.png,23,113,Smoke,1214,468,1237,581
0267.png,32,158,Smoke,962,387,994,545
0778.png,57,57,Smoke,1773,313,1830,370
1397.png,76,227,Smoke,1616,382,1692,609
1099.png,179,109,Smoke,1741,458,1920,567
1552.png,170,57,Smoke,568,497,738,554
1117.png,99,59,Smoke,1689,574,1788,633
1164.png,84,67,Smoke,1761,378,1845,445
0133.png,32,158,Smoke,962,387,994,545
1587.png,113,57,Smoke,628,498,741,555
0608.png,124,174,Smoke,1251,377,1375,551
1666.png,113,57,Smoke,630,495,743,552
1078.png,57,57,Smoke,1773,313,1830,370
1081.png,99,59,Smoke,1688,575,1787,634
1673.png,32,170,Smoke,966,380,998,550
0264.png,95,176,Smoke,819,373,914,549
0534.png,29,218,Smoke,1163,355,1192,573
0004.png,50,147,Smoke,418,397,468,544
0915.png,143,95,Smoke,597,460,740,555
1082.png,23,113,Smoke,1214,469,1237,582
1729.png,155,48,Smoke,1722,579,1877,627
0966.png,179,109,Smoke,1741,457,1920,566
0216.png,74,99,Smoke,666,430,740,529
1106.png,57,57,Smoke,1773,313,1830,370
1357.png,80,48,Smoke,414,514,494,562
1324.png,124,174,Smoke,1256,377,1380,551
1776.png,128,246,Smoke,1025,317,1153,563
0501.png,80,48,Smoke,416,516,496,564
0769.png,23,113,Smoke,1214,468,1237,581
1470.png,76,227,Smoke,1620,383,1696,610
0741.png,55,80,Smoke,546,424,601,504
0171.png,65,197,Smoke,1617,420,1682,617
0212.png,95,176,Smoke,819,377,914,553
1722.png,55,80,Smoke,546,424,601,504
1438.png,50,128,Smoke,1431,414,1481,542
0738.png,80,48,Smoke,414,514,494,562
1414.png,101,107,Smoke,635,446,736,553
1363.png,130,227,Smoke,1022,324,1152,551
0190.png,57,48,Smoke,1704,577,1761,625
0977.png,80,48,Smoke,414,514,494,562
1669.png,76,227,Smoke,1624,382,1700,609
1311.png,80,48,Smoke,414,514,494,562
0325.png,76,92,Smoke,1768,310,1844,402
0868.png,32,158,Smoke,963,386,995,544
0307.png,107,221,Smoke,1021,322,1128,543
0441.png,23,113,Smoke,1214,464,1237,577
0643.png,124,174,Smoke,1251,378,1375,552
0907.png,174,109,Smoke,1746,452,1920,561
0781.png,109,179,Smoke,813,367,922,546
0761.png,160,57,Smoke,580,501,740,558
0889.png,107,179,Smoke,814,369,921,548
0305.png,65,197,Smoke,1617,422,1682,619
1675.png,50,128,Smoke,1431,412,1481,540
1316.png,57,57,Smoke,1773,313,1830,370
1048.png,23,113,Smoke,1214,466,1237,579
1536.png,29,218,Smoke,1163,344,1192,562
1258.png,57,57,Smoke,1773,313,1830,370
0480.png,142,109,Smoke,1778,446,1920,555
0793.png,124,174,Smoke,1251,379,1375,553
1099.png,76,250,Smoke,1615,391,1691,641
0547.png,55,80,Smoke,546,424,601,504
1500.png,130,227,Smoke,1024,317,1154,544
0788.png,109,179,Smoke,813,367,922,546
1561.png,111,76,Smoke,814,477,925,553
1735.png,181,109,Smoke,1739,456,1920,565
1166.png,101,107,Smoke,635,446,736,553
0483.png,95,155,Smoke,822,395,917,550
1019.png,76,118,Smoke,1769,317,1845,435
0873.png,143,71,Smoke,594,483,737,554
0428.png,57,57,Smoke,1773,313,1830,370
1231.png,84,67,Smoke,1760,376,1844,443
0861.png,80,48,Smoke,414,514,494,562
1728.png,122,78,Smoke,812,472,934,550
0635.png,80,48,Smoke,415,515,495,563
0046.png,95,176,Smoke,809,380,904,556
1036.png,76,118,Smoke,1769,317,1845,435
1107.png,50,128,Smoke,1431,422,1481,550
0548.png,124,174,Smoke,1250,378,1374,552
0082.png,32,158,Smoke,962,386,994,544
0683.png,32,158,Smoke,963,390,995,548
1298.png,84,67,Smoke,1760,375,1844,442
0101.png,145,116,Smoke,1226,427,1371,543
0982.png,99,59,Smoke,1689,577,1788,636
0615.png,76,118,Smoke,1771,308,1847,426
0403.png,55,84,Smoke,450,460,505,544
1418.png,50,128,Smoke,1431,414,1481,542
1642.png,180,109,Smoke,1740,456,1920,565
0428.png,23,113,Smoke,1214,464,1237,577
0648.png,97,120,Smoke,647,432,744,552
0968.png,76,118,Smoke,1769,316,1845,434
0121.png,95,176,Smoke,818,375,913,551
0971.png,29,218,Smoke,1163,353,1192,571
1057.png,76,250,Smoke,1615,389,1691,639
0930.png,50,128,Smoke,1431,424,1481,552
0921.png,57,57,Smoke,1773,313,1830,370
1248.png,76,250,Smoke,1614,389,1690,639
0991.png,50,128,Smoke,1431,424,1481,552
0789.png,55,80,Smoke,546,424,601,504
0935.png,176,109,Smoke,1744,452,1920,561
1664.png,76,227,Smoke,1623,382,1699,609
