filename,type,id,category,annotated_by,x,y,height,width,visibility
0003.png,box,72731786-10e2-44f9-819a-fca9e5f40ebd,Smoke,machine,1136,380,170,29,visible
0003.png,box,e7d12a24-9a86-458d-98c8-fb5da8177c7c,Smoke,machine,1193,429,116,145,visible
0003.png,box,1483bbbc-cf4e-4a65-acb7-9bc9801cd63a,Smoke,machine,1741,460,97,151,visible
0003.png,box,a694c92e-9b77-4d7c-9f03-1fe9a1d5cf80,Smoke,machine,1582,422,197,65,visible
0003.png,box,be0526ea-a121-4cc0-9033-ae66e610b586,Smoke,machine,1670,579,48,57,visible
0003.png,box,9dab8db2-f7fe-49b2-b859-8f44cbb40b38,Smoke,machine,1403,433,116,34,visible
0003.png,box,32dd1415-b966-4bdd-b8e2-e23f8a6175ad,Smoke,machine,1733,309,92,76,visible
0003.png,box,4d212cf3-0a9b-4421-967a-30960923745c,Smoke,machine,559,483,34,48,hidden
0003.png,box,0c932ce3-f8bf-485a-a92f-16033a35c7e2,Smoke,machine,1214,464,113,23,hidden
0003.png,box,2cbf8d43-35b0-41d4-b520-e9a05019debb,Smoke,machine,1773,313,57,57,hidden
0004.png,box,2bf4e928-6714-43ab-8e4e-3c802e21e4ea,Smoke,machine,418,397,147,50,visible
0004.png,box,3ef01461-10f4-44fa-a2b7-9fa31a6dac3a,Smoke,machine,628,447,99,74,visible
0004.png,box,36ad3edb-34aa-4232-8702-86b7466b70e7,Smoke,machine,784,380,176,95,visible
0004.png,box,743464c4-e5fa-4cb4-a11d-b3790a902743,Smoke,machine,992,355,195,107,visible
0004.png,box,44565af1-1551-472a-93b5-df92082be817,Smoke,machine,928,387,158,32,visible
0004.png,box,72731786-10e2-44f9-819a-fca9e5f40ebd,Smoke,machine,1136,380,170,29,visible
0004.png,box,e7d12a24-9a86-458d-98c8-fb5da8177c7c,Smoke,machine,1193,429,116,145,visible
0004.png,box,1483bbbc-cf4e-4a65-acb7-9bc9801cd63a,Smoke,machine,1742,460,97,151,visible
0004.png,box,a694c92e-9b77-4d7c-9f03-1fe9a1d5cf80,Smoke,machine,1581,422,197,65,visible
0004.png,box,be0526ea-a121-4cc0-9033-ae66e610b586,Smoke,machine,1670,578,48,57,visible
0004.png,box,9dab8db2-f7fe-49b2-b859-8f44cbb40b38,Smoke,machine,1403,433,116,34,visible
0004.png,box,32dd1415-b966-4bdd-b8e2-e23f8a6175ad,Smoke,machine,1733,309,92,76,visible
0004.png,box,4d212cf3-0a9b-4421-967a-30960923745c,Smoke,machine,559,483,34,48,hidden
0004.png,box,0c932ce3-f8bf-485a-a92f-16033a35c7e2,Smoke,machine,1214,464,113,23,hidden
0004.png,box,2cbf8d43-35b0-41d4-b520-e9a05019debb,Smoke,machine,1773,313,57,57,hidden
0005.png,box,2bf4e928-6714-43ab-8e4e-3c802e21e4ea,Smoke,machine,418,397,147,50,visible
0005.png,box,3ef01461-10f4-44fa-a2b7-9fa31a6dac3a,Smoke,machine,628,447,99,74,visible
0005.png,box,36ad3edb-34aa-4232-8702-86b7466b70e7,Smoke,machine,784,380,176,95,visible
0005.png,box,743464c4-e5fa-4cb4-a11d-b3790a902743,Smoke,machine,992,355,195,107,visible
0005.png,box,44565af1-1551-472a-93b5-df92082be817,Smoke,machine,928,387,158,32,visible
0005.png,box,72731786-10e2-44f9-819a-fca9e5f40ebd,Smoke,machine,1136,380,170,29,visible
0005.png,box,e7d12a24-9a86-458d-98c8-fb5da8177c7c,Smoke,machine,1193,428,116,145,visible
0005.png,box,1483bbbc-cf4e-4a65-acb7-9bc9801cd63a,Smoke,machine,1741,460,97,151,visible
0005.png,box,a694c92e-9b77-4d7c-9f03-1fe9a1d5cf80,Smoke,machine,1583,422,197,65,visible
0005.png,box,be0526ea-a121-4cc0-9033-ae66e610b586,Smoke,machine,1670,578,48,57,visible
0005.png,box,9dab8db2-f7fe-49b2-b859-8f44cbb40b38,Smoke,machine,1403,433,116,34,visible
0005.png,box,32dd1415-b966-4bdd-b8e2-e23f8a6175ad,Smoke,machine,1733,309,92,76,visible
0005.png,box,4d212cf3-0a9b-4421-967a-30960923745c,Smoke,machine,559,483,34,48,hidden
0005.png,box,0c932ce3-f8bf-485a-a92f-16033a35c7e2,Smoke,machine,1214,464,113,23,hidden
0005.png,box,2cbf8d43-35b0-41d4-b520-e9a05019debb,Smoke,machine,1773,313,57,57,hidden
0006.png,box,2bf4e928-6714-43ab-8e4e-3c802e21e4ea,Smoke,machine,418,397,147,50,visible
0006.png,box,3ef01461-10f4-44fa-a2b7-9fa31a6dac3a,Smoke,machine,628,448,99,74,visible
0006.png,box,36ad3edb-34aa-4232-8702-86b7466b70e7,Smoke,machine,784,380,176,95,visible
0006.png,box,743464c4-e5fa-4cb4-a11d-b3790a902743,Smoke,machine,992,355,195,107,visible
0006.png,box,44565af1-1551-472a-93b5-df92082be817,Smoke,machine,928,387,158,32,visible
0006.png,box,72731786-10e2-44f9-819a-fca9e5f40ebd,Smoke,machine,1136,380,170,29,visible
0006.png,box,e7d12a24-9a86-458d-98c8-fb5da8177c7c,Smoke,machine,1193,429,116,145,visible
0006.png,box,1483bbbc-cf4e-4a65-acb7-9bc9801cd63a,Smoke,machine,1740,460,97,151,visible
0006.png,box,a694c92e-9b77-4d7c-9f03-1fe9a1d5cf80,Smoke,machine,1581,421,197,65,visible
0006.png,box,be0526ea-a121-4cc0-9033-ae66e610b586,Smoke,machine,1670,578,48,57,visible
0006.png,box,9dab8db2-f7fe-49b2-b859-8f44cbb40b38,Smoke,machine,1403,433,116,34,visible
0006.png,box,32dd1415-b966-4bdd-b8e2-e23f8a6175ad,Smoke,machine,1733,309,92,76,visible
0006.png,box,4d212cf3-0a9b-4421-967a-30960923745c,Smoke,machine,559,483,34,48,hidden
0006.png,box,0c932ce3-f8bf-485a-a92f-16033a35c7e2,Smoke,machine,1214,464,113,23,hidden
0006.png,box,2cbf8d43-35b0-41d4-b520-e9a05019debb,Smoke,machine,1773,313,57,57,hidden
0007.png,box,2bf4e928-6714-43ab-8e4e-3c802e21e4ea,Smoke,machine,418,397,147,50,visible
0007.png,box,3ef01461-10f4-44fa-a2b7-9fa31a6dac3a,Smoke,machine,629,447,99,74,visible
0007.png,box,36ad3edb-34aa-4232-8702-86b7466b70e7,Smoke,machine,784,382,176,95,visible
0007.png,box,743464c4-e5fa-4cb4-a11d-b3790a902743,Smoke,machine,992,355,195,107,visible
0007.png,box,44565af1-1551-472a-93b5-df92082be817,Smoke,machine,929,387,158,32,visible
0007.png,box,72731786-10e2-44f9-819a-fca9e5f40ebd,Smoke,machine,1136,380,170,29,visible
0007.png,box,e7d12a24-9a86-458d-98c8-fb5da8177c7c,Smoke,machine,1193,429,116,145,visible
0007.png,box,1483bbbc-cf4e-4a65-acb7-9bc9801cd63a,Smoke,machine,1741,460,97,151,visible
0007.png,box,a694c92e-9b77-4d7c-9f03-1fe9a1d5cf80,Smoke,machine,1583,422,197,65,visible
0007.png,box,be0526ea-a121-4cc0-9033-ae66e610b586,Smoke,machine,1670,578,48,57,visible
0007.png,box,9dab8db2-f7fe-49b2-b859-8f44cbb40b38,Smoke,machine,1403,433,116,34,visible
0007.png,box,32dd1415-b966-4bdd-b8e2-e23f8a6175ad,Smoke,machine,1733,309,92,76,visible
0007.png,box,4d212cf3-0a9b-4421-967a-30960923745c,Smoke,machine,559,483,34,48,hidden
0007.png,box,0c932ce3-f8bf-485a-a92f-16033a35c7e2,Smoke,machine,1214,464,113,23,hidden
0007.png,box,2cbf8d43-35b0-41d4-b520-e9a05019debb,Smoke,machine,1773,313,57,57,hidden
0008.png,box,2bf4e928-6714-43ab-8e4e-3c802e21e4ea,Smoke,machine,418,397,147,50,visible
0008.png,box,3ef01461-10f4-44fa-a2b7-9fa31a6dac3a,Smoke,machine,628,448,99,74,visible
0008.png,box,36ad3edb-34aa-4232-8702-86b7466b70e7,Smoke,machine,784,381,176,95,visible
0008.png,box,743464c4-e5fa-4cb4-a11d-b3790a902743,Smoke,machine,992,355,195,107,visible
0008.png,box,44565af1-1551-472a-93b5-df92082be817,Smoke,machine,928,387,158,32,visible
0008.png,box,72731786-10e2-44f9-819a-fca9e5f40ebd,Smoke,machine,1136,380,170,29,visible
0008.png,box,e7d12a24-9a86-458d-98c8-fb5da8177c7c,Smoke,machine,1194,429,116,145,visible
0008.png,box,1483bbbc-cf4e-4a65-acb7-9bc9801cd63a,Smoke,machine,1740,461,97,151,visible
0008.png,box,a694c92e-9b77-4d7c-9f03-1fe9a1d5cf80,Smoke,machine,1581,422,197,65,visible
0008.png,box,be0526ea-a121-4cc0-9033-ae66e610b586,Smoke,machine,1670,578,48,57,visible
0008.png,box,9dab8db2-f7fe-49b2-b859-8f44cbb40b38,Smoke,machine,1403,433,116,34,visible
0008.png,box,32dd1415-b966-4bdd-b8e2-e23f8a6175ad,Smoke,machine,1734,309,92,76,visible
0008.png,box,4d212cf3-0a9b-4421-967a-30960923745c,Smoke,machine,559,483,34,48,hidden
0008.png,box,0c932ce3-f8bf-485a-a92f-16033a35c7e2,Smoke,machine,1214,464,113,23,hidden
0008.png,box,2cbf8d43-35b0-41d4-b520-e9a05019debb,Smoke,machine,1773,313,57,57,hidden
0009.png,box,2bf4e928-6714-43ab-8e4e-3c802e21e4ea,Smoke,machine,418,397,147,50,visible
0009.png,box,3ef01461-10f4-44fa-a2b7-9fa31a6dac3a,Smoke,machine,628,448,99,74,visible
0009.png,box,36ad3edb-34aa-4232-8702-86b7466b70e7,Smoke,machine,785,380,176,95,visible
0009.png,box,743464c4-e5fa-4cb4-a11d-b3790a902743,Smoke,machine,992,355,195,107,visible
0009.png,box,44565af1-1551-472a-93b5-df92082be817,Smoke,machine,929,387,158,32,visible
0009.png,box,72731786-10e2-44f9-819a-fca9e5f40ebd,Smoke,machine,1136,380,170,29,visible
0009.png,box,e7d12a24-9a86-458d-98c8-fb5da8177c7c,Smoke,machine,1193,428,116,145,visible
0009.png,box,1483bbbc-cf4e-4a65-acb7-9bc9801cd63a,Smoke,machine,1741,461,97,151,visible
0009.png,box,a694c92e-9b77-4d7c-9f03-1fe9a1d5cf80,Smoke,machine,1583,422,197,65,visible
0009.png,box,be0526ea-a121-4cc0-9033-ae66e610b586,Smoke,machine,1670,578,48,57,visible
0009.png,box,9dab8db2-f7fe-49b2-b859-8f44cbb40b38,Smoke,machine,1403,433,116,34,visible
0009.png,box,32dd1415-b966-4bdd-b8e2-e23f8a6175ad,Smoke,machine,1734,309,92,76,visible
0009.png,box,4d212cf3-0a9b-4421-967a-30960923745c,Smoke,machine,559,483,34,48,hidden
0009.png,box,0c932ce3-f8bf-485a-a92f-16033a35c7e2,Smoke,machine,1214,464,113,23,hidden
0009.png,box,2cbf8d43-35b0-41d4-b520-e9a05019debb,Smoke,machine,1773,313,57,57,hidden
0010.png,box,2bf4e928-6714-43ab-8e4e-3c802e21e4ea,Smoke,machine,418,397,147,50,visible
0010.png,box,3ef01461-10f4-44fa-a2b7-9fa31a6dac3a,Smoke,machine,628,448,99,74,visible
0010.png,box,36ad3edb-34aa-4232-8702-86b7466b70e7,Smoke,machine,785,380,176,95,visible
0010.png,box,743464c4-e5fa-4cb4-a11d-b3790a902743,Smoke,machine,992,354,195,107,visible
0010.png,box,44565af1-1551-472a-93b5-df92082be817,Smoke,machine,929,387,158,32,visible
0010.png,box,72731786-10e2-44f9-819a-fca9e5f40ebd,Smoke,machine,1136,380,170,29,visible
0010.png,box,e7d12a24-9a86-458d-98c8-fb5da8177c7c,Smoke,machine,1193,429,116,145,visible
0010.png,box,1483bbbc-cf4e-4a65-acb7-9bc9801cd63a,Smoke,machine,1742,461,97,151,visible
0010.png,box,a694c92e-9b77-4d7c-9f03-1fe9a1d5cf80,Smoke,machine,1583,423,197,65,visible
0010.png,box,be0526ea-a121-4cc0-9033-ae66e610b586,Smoke,machine,1670,579,48,57,visible
0010.png,box,9dab8db2-f7fe-49b2-b859-8f44cbb40b38,Smoke,machine,1403,434,116,34,visible
0010.png,box,32dd1415-b966-4bdd-b8e2-e23f8a6175ad,Smoke,machine,1734,309,92,76,visible
0010.png,box,4d212cf3-0a9b-4421-967a-30960923745c,Smoke,machine,559,483,34,48,hidden
0010.png,box,0c932ce3-f8bf-485a-a92f-16033a35c7e2,Smoke,machine,1214,464,113,23,hidden
0010.png,box,2cbf8d43-35b0-41d4-b520-e9a05019debb,Smoke,machine,1773,313,57,57,hidden
0011.png,box,2bf4e928-6714-43ab-8e4e-3c802e21e4ea,Smoke,machine,418,397,147,50,visible
0011.png,box,3ef01461-10f4-44fa-a2b7-9fa31a6dac3a,Smoke,machine,628,447,99,74,visible
0011.png,box,36ad3edb-34aa-4232-8702-86b7466b70e7,Smoke,machine,785,380,176,95,visible
0011.png,box,743464c4-e5fa-4cb4-a11d-b3790a902743,Smoke,machine,991,355,195,107,visible
0011.png,box,44565af1-1551-472a-93b5-df92082be817,Smoke,machine,928,387,158,32,visible
0011.png,box,72731786-10e2-44f9-819a-fca9e5f40ebd,Smoke,machine,1136,380,170,29,visible
0011.png,box,e7d12a24-9a86-458d-98c8-fb5da8177c7c,Smoke,machine,1194,430,116,145,visible
0011.png,box,1483bbbc-cf4e-4a65-acb7-9bc9801cd63a,Smoke,machine,1741,461,97,151,visible
0011.png,box,a694c92e-9b77-4d7c-9f03-1fe9a1d5cf80,Smoke,machine,1583,422,197,65,visible
0011.png,box,be0526ea-a121-4cc0-9033-ae66e610b586,Smoke,machine,1670,578,48,57,visible
0011.png,box,9dab8db2-f7fe-49b2-b859-8f44cbb40b38,Smoke,machine,1403,434,116,34,visible
0011.png,box,32dd1415-b966-4bdd-b8e2-e23f8a6175ad,Smoke,machine,1733,310,92,76,visible
0011.png,box,4d212cf3-0a9b-4421-967a-30960923745c,Smoke,machine,559,483,34,48,hidden
0011.png,box,0c932ce3-f8bf-485a-a92f-16033a35c7e2,Smoke,machine,1214,464,113,23,hidden
0011.png,box,2cbf8d43-35b0-41d4-b520-e9a05019debb,Smoke,machine,1773,313,57,57,hidden
0012.png,box,2bf4e928-6714-43ab-8e4e-3c802e21e4ea,Smoke,machine,418,397,147,50,visible
0012.png,box,3ef01461-10f4-44fa-a2b7-9fa31a6dac3a,Smoke,machine,628,446,99,74,visible
0012.png,box,36ad3edb-34aa-4232-8702-86b7466b70e7,Smoke,machine,785,381,176,95,visible
0012.png,box,743464c4-e5fa-4cb4-a11d-b3790a902743,Smoke,machine,991,355,195,107,visible
0012.png,box,44565af1-1551-472a-93b5-df92082be817,Smoke,machine,928,387,158,32,visible
0012.png,box,72731786-10e2-44f9-819a-fca9e5f40ebd,Smoke,machine,1136,380,170,29,visible
0012.png,box,e7d12a24-9a86-458d-98c8-fb5da8177c7c,Smoke,machine,1194,430,116,145,visible
0012.png,box,1483bbbc-cf4e-4a65-acb7-9bc9801cd63a,Smoke,machine,1741,460,97,151,visible
0012.png,box,a694c92e-9b77-4d7c-9f03-1fe9a1d5cf80,Smoke,machine,1583,421,197,65,visible
0012.png,box,be0526ea-a121-4cc0-9033-ae66e610b586,Smoke,machine,1670,578,48,57,visible
0012.png,box,9dab8db2-f7fe-49b2-b859-8f44cbb40b38,Smoke,machine,1403,434,116,34,visible
0012.png,box,32dd1415-b966-4bdd-b8e2-e23f8a6175ad,Smoke,machine,1733,310,92,76,visible
0012.png,box,4d212cf3-0a9b-4421-967a-30960923745c,Smoke,machine,559,483,34,48,hidden
0012.png,box,0c932ce3-f8bf-485a-a92f-16033a35c7e2,Smoke,machine,1214,464,113,23,hidden
0012.png,box,2cbf8d43-35b0-41d4-b520-e9a05019debb,Smoke,machine,1773,313,57,57,hidden
0013.png,box,2bf4e928-6714-43ab-8e4e-3c802e21e4ea,Smoke,machine,419,397,147,50,visible
0013.png,box,3ef01461-10f4-44fa-a2b7-9fa31a6dac3a,Smoke,machine,629,446,99,74,visible
0013.png,box,36ad3edb-34aa-4232-8702-86b7466b70e7,Smoke,machine,785,382,176,95,visible
0013.png,box,743464c4-e5fa-4cb4-a11d-b3790a902743,Smoke,machine,991,355,195,107,visible
0013.png,box,44565af1-1551-472a-93b5-df92082be817,Smoke,machine,928,387,158,32,visible
0013.png,box,72731786-10e2-44f9-819a-fca9e5f40ebd,Smoke,machine,1137,381,170,29,visible
0013.png,box,e7d12a24-9a86-458d-98c8-fb5da8177c7c,Smoke,machine,1194,430,116,145,visible
0013.png,box,1483bbbc-cf4e-4a65-acb7-9bc9801cd63a,Smoke,machine,1741,462,97,151,visible
0013.png,box,a694c92e-9b77-4d7c-9f03-1fe9a1d5cf80,Smoke,machine,1583,422,197,65,visible
0013.png,box,be0526ea-a121-4cc0-9033-ae66e610b586,Smoke,machine,1670,579,48,57,visible
0013.png,box,9dab8db2-f7fe-49b2-b859-8f44cbb40b38,Smoke,machine,1403,434,116,34,visible
0013.png,box,32dd1415-b966-4bdd-b8e2-e23f8a6175ad,Smoke,machine,1733,310,92,76,visible
0013.png,box,4d212cf3-0a9b-4421-967a-30960923745c,Smoke,machine,559,483,34,48,hidden
0013.png,box,0c932ce3-f8bf-485a-a92f-16033a35c7e2,Smoke,machine,1214,464,113,23,hidden
0013.png,box,2cbf8d43-35b0-41d4-b520-e9a05019debb,Smoke,machine,1773,313,57,57,hidden
0014.png,box,2bf4e928-6714-43ab-8e4e-3c802e21e4ea,Smoke,machine,419,397,147,50,visible
0014.png,box,3ef01461-10f4-44fa-a2b7-9fa31a6dac3a,Smoke,machine,628,444,99,74,visible
0014.png,box,36ad3edb-34aa-4232-8702-86b7466b70e7,Smoke,machine,785,381,176,95,visible
0014.png,box,743464c4-e5fa-4cb4-a11d-b3790a902743,Smoke,machine,991,355,195,107,visible
0014.png,box,44565af1-1551-472a-93b5-df92082be817,Smoke,machine,928,387,158,32,visible
0014.png,box,72731786-10e2-44f9-819a-fca9e5f40ebd,Smoke,machine,1136,380,170,29,visible
0014.png,box,e7d12a24-9a86-458d-98c8-fb5da8177c7c,Smoke,machine,1194,431,116,145,visible
0014.png,box,1483bbbc-cf4e-4a65-acb7-9bc9801cd63a,Smoke,machine,1741,462,97,151,visible
0014.png,box,a694c92e-9b77-4d7c-9f03-1fe9a1d5cf80,Smoke,machine,1583,423,197,65,visible
0014.png,box,be0526ea-a121-4cc0-9033-ae66e610b586,Smoke,machine,1670,579,48,57,visible
0014.png,box,9dab8db2-f7fe-49b2-b859-8f44cbb40b38,Smoke,machine,1403,434,116,34,visible
0014.png,box,32dd1415-b966-4bdd-b8e2-e23f8a6175ad,Smoke,machine,1733,310,92,76,visible
0014.png,box,4d212cf3-0a9b-4421-967a-30960923745c,Smoke,machine,559,483,34,48,hidden
0014.png,box,0c932ce3-f8bf-485a-a92f-16033a35c7e2,Smoke,machine,1214,464,113,23,hidden
0014.png,box,2cbf8d43-35b0-41d4-b520-e9a05019debb,Smoke,machine,1773,313,57,57,hidden
0015.png,box,2bf4e928-6714-43ab-8e4e-3c802e21e4ea,Smoke,machine,418,397,147,50,visible
0015.png,box,3ef01461-10f4-44fa-a2b7-9fa31a6dac3a,Smoke,machine,629,446,99,74,visible
0015.png,box,36ad3edb-34aa-4232-8702-86b7466b70e7,Smoke,machine,785,382,176,95,visible
0015.png,box,743464c4-e5fa-4cb4-a11d-b3790a902743,Smoke,machine,992,355,195,107,visible
0015.png,box,44565af1-1551-472a-93b5-df92082be817,Smoke,machine,928,387,158,32,visible
0015.png,box,72731786-10e2-44f9-819a-fca9e5f40ebd,Smoke,machine,1135,381,170,29,visible
0015.png,box,e7d12a24-9a86-458d-98c8-fb5da8177c7c,Smoke,machine,1194,430,116,145,visible
0015.png,box,1483bbbc-cf4e-4a65-acb7-9bc9801cd63a,Smoke,machine,1741,462,97,151,visible
0015.png,box,a694c92e-9b77-4d7c-9f03-1fe9a1d5cf80,Smoke,machine,1583,422,197,65,visible
0015.png,box,be0526ea-a121-4cc0-9033-ae66e610b586,Smoke,machine,1670,579,48,57,visible
0015.png,box,9dab8db2-f7fe-49b2-b859-8f44cbb40b38,Smoke,machine,1403,434,116,34,visible
0015.png,box,32dd1415-b966-4bdd-b8e2-e23f8a6175ad,Smoke,machine,1733,311,92,76,visible
0015.png,box,4d212cf3-0a9b-4421-967a-30960923745c,Smoke,machine,559,483,34,48,hidden
0015.png,box,0c932ce3-f8bf-485a-a92f-16033a35c7e2,Smoke,machine,1214,464,113,23,hidden
0015.png,box,2cbf8d43-35b0-41d4-b520-e9a05019debb,Smoke,machine,1773,313,57,57,hidden
0016.png,box,2bf4e928-6714-43ab-8e4e-3c802e21e4ea,Smoke,machine,418,397,147,50,visible
0016.png,box,3ef01461-10f4-44fa-a2b7-9fa31a6dac3a,Smoke,machine,628,448,99,74,visible
0016.png,box,36ad3edb-34aa-4232-8702-86b7466b70e7,Smoke,machine,785,381,176,95,visible
0016.png,box,743464c4-e5fa-4cb4-a11d-b3790a902743,Smoke,machine,991,355,195,107,visible
0016.png,box,44565af1-1551-472a-93b5-df92082be817,Smoke,machine,928,387,158,32,visible
0016.png,box,72731786-10e2-44f9-819a-fca9e5f40ebd,Smoke,machine,1135,381,170,29,visible
0016.png,box,e7d12a24-9a86-458d-98c8-fb5da8177c7c,Smoke,machine,1194,431,116,145,visible
0016.png,box,1483bbbc-cf4e-4a65-acb7-9bc9801cd63a,Smoke,machine,1740,462,97,151,visible
0016.png,box,a694c92e-9b77-4d7c-9f03-1fe9a1d5cf80,Smoke,machine,1583,421,197,65,visible
0016.png,box,be0526ea-a121-4cc0-9033-ae66e610b586,Smoke,machine,1670,579,48,57,visible
0016.png,box,9dab8db2-f7fe-49b2-b859-8f44cbb40b38,Smoke,machine,1403,434,116,34,visible
0016.png,box,32dd1415-b966-4bdd-b8e2-e23f8a6175ad,Smoke,machine,1733,311,92,76,visible
0016.png,box,4d212cf3-0a9b-4421-967a-30960923745c,Smoke,machine,559,483,34,48,hidden
0016.png,box,0c932ce3-f8bf-485a-a92f-16033a35c7e2,Smoke,machine,1214,464,113,23,hidden
0016.png,box,2cbf8d43-35b0-41d4-b520-e9a05019debb,Smoke,machine,1773,313,57,57,hidden
0017.png,box,2bf4e928-6714-43ab-8e4e-3c802e21e4ea,Smoke,machine,418,397,147,50,visible
0017.png,box,3ef01461-10f4-44fa-a2b7-9fa31a6dac3a,Smoke,machine,628,448,99,74,visible
0017.png,box,36ad3edb-34aa-4232-8702-86b7466b70e7,Smoke,machine,785,382,176,95,visible
0017.png,box,743464c4-e5fa-4cb4-a11d-b3790a902743,Smoke,machine,991,355,195,107,visible
0017.png,box,44565af1-1551-472a-93b5-df92082be817,Smoke,machine,928,387,158,32,visible
0017.png,box,72731786-10e2-44f9-819a-fca9e5f40ebd,Smoke,machine,1136,382,170,29,visible
0017.png,box,e7d12a24-9a86-458d-98c8-fb5da8177c7c,Smoke,machine,1194,431,116,145,visible
0017.png,box,1483bbbc-cf4e-4a65-acb7-9bc9801cd63a,Smoke,machine,1741,463,97,151,visible
0017.png,box,a694c92e-9b77-4d7c-9f03-1fe9a1d5cf80,Smoke,machine,1583,422,197,65,visible
0017.png,box,be0526ea-a121-4cc0-9033-ae66e610b586,Smoke,machine,1670,578,48,57,visible
0017.png,box,9dab8db2-f7fe-49b2-b859-8f44cbb40b38,Smoke,machine,1403,434,116,34,visible
0017.png,box,32dd1415-b966-4bdd-b8e2-e23f8a6175ad,Smoke,machine,1733,311,92,76,visible
0017.png,box,4d212cf3-0a9b-4421-967a-30960923745c,Smoke,machine,559,483,34,48,hidden
0017.png,box,0c932ce3-f8bf-485a-a92f-16033a35c7e2,Smoke,machine,1214,464,113,23,hidden
0017.png,box,2cbf8d43-35b0-41d4-b520-e9a05019debb,Smoke,machine,1773,313,57,57,hidden
0018.png,box,2bf4e928-6714-43ab-8e4e-3c802e21e4ea,Smoke,machine,418,398,147,50,visible
0018.png,box,3ef01461-10f4-44fa-a2b7-9fa31a6dac3a,Smoke,machine,629,446,99,74,visible
0018.png,box,36ad3edb-34aa-4232-8702-86b7466b70e7,Smoke,machine,785,381,176,95,visible
