filename,width,height,class,x_min,y_min,x_max,y_max
0004.png,145,116,Smoke,1193,429,1338,545
0004.png,151,97,Smoke,1742,460,1893,557
0004.png,65,197,Smoke,1581,422,1646,619
0004.png,57,48,Smoke,1670,578,1727,626
0004.png,34,116,Smoke,1403,433,1437,549
0004.png,76,92,Smoke,1733,309,1809,401
0004.png,48,34,Smoke,559,483,607,517
0004.png,23,113,Smoke,1214,464,1237,577
0004.png,57,57,Smoke,1773,313,1830,370
0005.png,50,147,Smoke,418,397,468,544
0005.png,74,99,Smoke,628,447,702,546
0005.png,95,176,Smoke,784,380,879,556
0005.png,107,195,Smoke,992,355,1099,550
0005.png,32,158,Smoke,928,387,960,545
0005.png,29,170,Smoke,1136,380,1165,550
0005.png,145,116,Smoke,1193,428,1338,544
0005.png,151,97,Smoke,1741,460,1892,557
0005.png,65,197,Smoke,1583,422,1648,619
0005.png,57,48,Smoke,1670,578,1727,626
0005.png,34,116,Smoke,1403,433,1437,549
0005.png,76,92,Smoke,1733,309,1809,401
0005.png,48,34,Smoke,559,483,607,517
0005.png,23,113,Smoke,1214,464,1237,577
0005.png,57,57,Smoke,1773,313,1830,370
0006.png,50,147,Smoke,418,397,468,544
0006.png,74,99,Smoke,628,448,702,547
0006.png,95,176,Smoke,784,380,879,556
0006.png,107,195,Smoke,992,355,1099,550
0006.png,32,158,Smoke,928,387,960,545
0006.png,29,170,Smoke,1136,380,1165,550
0006.png,145,116,Smoke,1193,429,1338,545
0006.png,151,97,Smoke,1740,460,1891,557
0006.png,65,197,Smoke,1581,421,1646,618
0006.png,57,48,Smoke,1670,578,1727,626
0006.png,34,116,Smoke,1403,433,1437,549
0006.png,76,92,Smoke,1733,309,1809,401
0006.png,48,34,Smoke,559,483,607,517
0006.png,23,113,Smoke,1214,464,1237,577
0006.png,57,57,Smoke,1773,313,1830,370
0007.png,50,147,Smoke,418,397,468,544
0007.png,74,99,Smoke,629,447,703,546
0007.png,95,176,Smoke,784,382,879,558
0007.png,107,195,Smoke,992,355,1099,550
0007.png,32,158,Smoke,929,387,961,545
0007.png,29,170,Smoke,1136,380,1165,550
0007.png,145,116,Smoke,1193,429,1338,545
0007.png,151,97,Smoke,1741,460,1892,557
0007.png,65,197,Smoke,1583,422,1648,619
0007.png,57,48,Smoke,1670,578,1727,626
0007.png,34,116,Smoke,1403,433,1437,549
0007.png,76,92,Smoke,1733,309,1809,401
0007.png,48,34,Smoke,559,483,607,517
0007.png,23,113,Smoke,1214,464,1237,577
0007.png,57,57,Smoke,1773,313,1830,370
0008.png,50,147,Smoke,418,397,468,544
0008.png,74,99,Smoke,628,448,702,547
0008.png,95,176,Smoke,784,381,879,557
0008.png,107,195,Smoke,992,355,1099,550
0008.png,32,158,Smoke,928,387,960,545
0008.png,29,170,Smoke,1136,380,1165,550
0008.png,145,116,Smoke,1194,429,1339,545
0008.png,151,97,Smoke,1740,461,1891,558
0008.png,65,197,Smoke,1581,422,1646,619
0008.png,57,48,Smoke,1670,578,1727,626
0008.png,34,116,Smoke,1403,433,1437,549
0008.png,76,92,Smoke,1734,309,1810,401
0008.png,48,34,Smoke,559,483,607,517
0008.png,23,113,Smoke,1214,464,1237,577
0008.png,57,57,Smoke,1773,313,1830,370
0009.png,50,147,Smoke,418,397,468,544
0009.png,74,99,Smoke,628,448,702,547
0009.png,95,176,Smoke,785,380,880,556
0009.png,107,195,Smoke,992,355,1099,550
0009.png,32,158,Smoke,929,387,961,545
0009.png,29,170,Smoke,1136,380,1165,550
0009.png,145,116,Smoke,1193,428,1338,544
0009.png,151,97,Smoke,1741,461,1892,558
0009.png,65,197,Smoke,1583,422,1648,619
0009.png,57,48,Smoke,1670,578,1727,626
0009.png,34,116,Smoke,1403,433,1437,549
0009.png,76,92,Smoke,1734,309,1810,401
0009.png,48,34,Smoke,559,483,607,517
0009.png,23,113,Smoke,1214,464,1237,577
0009.png,57,57,Smoke,1773,313,1830,370
0010.png,50,147,Smoke,418,397,468,544
0010.png,74,99,Smoke,628,448,702,547
0010.png,95,176,Smoke,785,380,880,556
0010.png,107,195,Smoke,992,354,1099,549
0010.png,32,158,Smoke,929,387,961,545
0010.png,29,170,Smoke,1136,380,1165,550
0010.png,145,116,Smoke,1193,429,1338,545
0010.png,151,97,Smoke,1742,461,1893,558
0010.png,65,197,Smoke,1583,423,1648,620
0010.png,57,48,Smoke,1670,579,1727,627
0010.png,34,116,Smoke,1403,434,1437,550
0010.png,76,92,Smoke,1734,309,1810,401
0010.png,48,34,Smoke,559,483,607,517
0010.png,23,113,Smoke,1214,464,1237,577
0010.png,57,57,Smoke,1773,313,1830,370
0011.png,50,147,Smoke,418,397,468,544
0011.png,74,99,Smoke,628,447,702,546
0011.png,95,176,Smoke,785,380,880,556
0011.png,107,195,Smoke,991,355,1098,550
0011.png,32,158,Smoke,928,387,960,545
0011.png,29,170,Smoke,1136,380,1165,550
0011.png,145,116,Smoke,1194,430,1339,546
0011.png,151,97,Smoke,1741,461,1892,558
0011.png,65,197,Smoke,1583,422,1648,619
0011.png,57,48,Smoke,1670,578,1727,626
0011.png,34,116,Smoke,1403,434,1437,550
0011.png,76,92,Smoke,1733,310,1809,402
0011.png,48,34,Smoke,559,483,607,517
0011.png,23,113,Smoke,1214,464,1237,577
0011.png,57,57,Smoke,1773,313,1830,370
0012.png,50,147,Smoke,418,397,468,544
0012.png,74,99,Smoke,628,446,702,545
0012.png,95,176,Smoke,785,381,880,557
0012.png,107,195,Smoke,991,355,1098,550
0012.png,32,158,Smoke,928,387,960,545
0012.png,29,170,Smoke,1136,380,1165,550
0012.png,145,116,Smoke,1194,430,1339,546
0012.png,151,97,Smoke,1741,460,1892,557
0012.png,65,197,Smoke,1583,421,1648,618
0012.png,57,48,Smoke,1670,578,1727,626
0012.png,34,116,Smoke,1403,434,1437,550
0012.png,76,92,Smoke,1733,310,1809,402
0012.png,48,34,Smoke,559,483,607,517
0012.png,23,113,Smoke,1214,464,1237,577
0012.png,57,57,Smoke,1773,313,1830,370
0013.png,50,147,Smoke,419,397,469,544
0013.png,74,99,Smoke,629,446,703,545
0013.png,95,176,Smoke,785,382,880,558
0013.png,107,195,Smoke,991,355,1098,550
0013.png,32,158,Smoke,928,387,960,545
0013.png,29,170,Smoke,1137,381,1166,551
0013.png,145,116,Smoke,1194,430,1339,546
0013.png,151,97,Smoke,1741,462,1892,559
0013.png,65,197,Smoke,1583,422,1648,619
0013.png,57,48,Smoke,1670,579,1727,627
0013.png,34,116,Smoke,1403,434,1437,550
0013.png,76,92,Smoke,1733,310,1809,402
0013.png,48,34,Smoke,559,483,607,517
0013.png,23,113,Smoke,1214,464,1237,577
0013.png,57,57,Smoke,1773,313,1830,370
0014.png,50,147,Smoke,419,397,469,544
0014.png,74,99,Smoke,628,444,702,543
0014.png,95,176,Smoke,785,381,880,557
0014.png,107,195,Smoke,991,355,1098,550
0014.png,32,158,Smoke,928,387,960,545
0014.png,29,170,Smoke,1136,380,1165,550
0014.png,145,116,Smoke,1194,431,1339,547
0014.png,151,97,Smoke,1741,462,1892,559
0014.png,65,197,Smoke,1583,423,1648,620
0014.png,57,48,Smoke,1670,579,1727,627
0014.png,34,116,Smoke,1403,434,1437,550
0014.png,76,92,Smoke,1733,310,1809,402
0014.png,48,34,Smoke,559,483,607,517
0014.png,23,113,Smoke,1214,464,1237,577
0014.png,57,57,Smoke,1773,313,1830,370
0015.png,50,147,Smoke,418,397,468,544
0015.png,74,99,Smoke,629,446,703,545
0015.png,95,176,Smoke,785,382,880,558
0015.png,107,195,Smoke,992,355,1099,550
0015.png,32,158,Smoke,928,387,960,545
0015.png,29,170,Smoke,1135,381,1164,551
0015.png,145,116,Smoke,1194,430,1339,546
0015.png,151,97,Smoke,1741,462,1892,559
0015.png,65,197,Smoke,1583,422,1648,619
0015.png,57,48,Smoke,1670,579,1727,627
0015.png,34,116,Smoke,1403,434,1437,550
0015.png,76,92,Smoke,1733,311,1809,403
0015.png,48,34,Smoke,559,483,607,517
0015.png,23,113,Smoke,1214,464,1237,577
0015.png,57,57,Smoke,1773,313,1830,370
0016.png,50,147,Smoke,418,397,468,544
0016.png,74,99,Smoke,628,448,702,547
0016.png,95,176,Smoke,785,381,880,557
0016.png,107,195,Smoke,991,355,1098,550
0016.png,32,158,Smoke,928,387,960,545
0016.png,29,170,Smoke,1135,381,1164,551
0016.png,145,116,Smoke,1194,431,1339,547
0016.png,151,97,Smoke,1740,462,1891,559
0016.png,65,197,Smoke,1583,421,1648,618
0016.png,57,48,Smoke,1670,579,1727,627
0016.png,34,116,Smoke,1403,434,1437,550
0016.png,76,92,Smoke,1733,311,1809,403
0016.png,48,34,Smoke,559,483,607,517
0016.png,23,113,Smoke,1214,464,1237,577
0016.png,57,57,Smoke,1773,313,1830,370
0017.png,50,147,Smoke,418,397,468,544
0017.png,74,99,Smoke,628,448,702,547
0017.png,95,176,Smoke,785,382,880,558
0017.png,107,195,Smoke,991,355,1098,550
0017.png,32,158,Smoke,928,387,960,545
0017.png,29,170,Smoke,1136,382,1165,552
0017.png,145,116,Smoke,1194,431,1339,547
0017.png,151,97,Smoke,1741,463,1892,560
0017.png,65,197,Smoke,1583,422,1648,619
0017.png,57,48,Smoke,1670,578,1727,626
0017.png,34,116,Smoke,1403,434,1437,550
0017.png,76,92,Smoke,1733,311,1809,403
0017.png,48,34,Smoke,559,483,607,517
0017.png,23,113,Smoke,1214,464,1237,577
0017.png,57,57,Smoke,1773,313,1830,370
0018.png,50,147,Smoke,418,398,468,545
0018.png,74,99,Smoke,629,446,703,545
0018.png,95,176,Smoke,785,381,880,557
0018.png,107,195,Smoke,991,357,1098,552
0018.png,32,158,Smoke,928,387,960,545
0018.png,29,170,Smoke,1137,380,1166,550
0018.png,145,116,Smoke,1194,432,1339,548
0018.png,151,97,Smoke,1742,463,1893,560
0018.png,65,197,Smoke,1583,424,1648,621
0018.png,57,48,Smoke,1670,578,1727,626
0018.png,34,116,Smoke,1403,434,1437,550
0018.png,76,92,Smoke,1732,311,1808,403
0018.png,48,34,Smoke,559,483,607,517
0018.png,23,113,Smoke,1214,464,1237,577
0018.png,57,57,Smoke,1773,313,1830,370
0019.png,50,147,Smoke,419,397,469,544
0019.png,74,99,Smoke,629,448,703,547
0019.png,95,176,Smoke,785,382,880,558
0019.png,107,195,Smoke,991,357,1098,552
0019.png,32,158,Smoke,928,389,960,547
0019.png,29,170,Smoke,1137,379,1166,549
0019.png,145,116,Smoke,1194,430,1339,546
0019.png,151,97,Smoke,1741,463,1892,560
0019.png,65,197,Smoke,1583,422,1648,619
0019.png,57,48,Smoke,1670,579,1727,627
0019.png,34,116,Smoke,1403,434,1437,550
0019.png,76,92,Smoke,1732,311,1808,403
0019.png,48,34,Smoke,559,483,607,517
0019.png,23,113,Smoke,1214,464,1237,577
0019.png,57,57,Smoke,1773,313,1830,370
0020.png,50,147,Smoke,419,397,469,544
0020.png,74,99,Smoke,629,448,703,547
0020.png,95,176,Smoke,785,383,880,559
0020.png,107,195,Smoke,991,357,1098,552
0020.png,32,158,Smoke,928,389,960,547
0020.png,29,170,Smoke,1137,380,1166,550
0020.png,145,116,Smoke,1194,430,1339,546
0020.png,151,97,Smoke,1742,463,1893,560
0020.png,65,197,Smoke,1583,424,1648,621
0020.png,57,48,Smoke,1670,579,1727,627
0020.png,34,116,Smoke,1403,434,1437,550
0020.png,76,92,Smoke,1732,311,1808,403
0020.png,48,34,Smoke,559,483,607,517
0020.png,23,113,Smoke,1214,464,1237,577
0020.png,57,57,Smoke,1773,313,1830,370
0021.png,50,147,Smoke,419,397,469,544
0021.png,74,99,Smoke,629,448,703,547
0021.png,95,176,Smoke,785,382,880,558
0021.png,107,195,Smoke,991,357,1098,552
0021.png,32,158,Smoke,928,389,960,547
0021.png,29,170,Smoke,1136,380,1165,550
0021.png,145,116,Smoke,1194,430,1339,546
0021.png,151,97,Smoke,1741,463,1892,560
0021.png,65,197,Smoke,1583,422,1648,619
0021.png,57,48,Smoke,1670,579,1727,627
0021.png,34,116,Smoke,1403,435,1437,551
0021.png,76,92,Smoke,1733,311,1809,403
0021.png,48,34,Smoke,559,483,607,517
0021.png,23,113,Smoke,1214,464,1237,577
0021.png,57,57,Smoke,1773,313,1830,370
0022.png,50,147,Smoke,419,397,469,544
0022.png,74,99,Smoke,629,448,703,547
0022.png,95,176,Smoke,784,382,879,558
0022.png,107,195,Smoke,991,357,1098,552
0022.png,32,158,Smoke,928,389,960,547
0022.png,29,170,Smoke,1136,380,1165,550
0022.png,145,116,Smoke,1194,430,1339,546
0022.png,151,97,Smoke,1741,463,1892,560
0022.png,65,197,Smoke,1584,423,1649,620
0022.png,57,48,Smoke,1670,579,1727,627
0022.png,34,116,Smoke,1403,435,1437,551
0022.png,76,92,Smoke,1733,311,1809,403
0022.png,48,34,Smoke,559,483,607,517
0022.png,23,113,Smoke,1214,464,1237,577
0022.png,57,57,Smoke,1773,313,1830,370
0023.png,50,147,Smoke,419,397,469,544
0023.png,74,99,Smoke,629,448,703,547
0023.png,95,176,Smoke,785,381,880,557
0023.png,107,195,Smoke,992,357,1099,552
0023.png,32,158,Smoke,928,389,960,547
0023.png,29,170,Smoke,1136,380,1165,550
0023.png,145,116,Smoke,1195,430,1340,546
0023.png,151,97,Smoke,1741,463,1892,560
0023.png,65,197,Smoke,1584,423,1649,620
0023.png,57,48,Smoke,1670,579,1727,627
0023.png,34,116,Smoke,1403,435,1437,551
0023.png,76,92,Smoke,1734,311,1810,403
0023.png,48,34,Smoke,559,483,607,517
0023.png,23,113,Smoke,1214,464,1237,577
0023.png,57,57,Smoke,1773,313,1830,370
0024.png,50,147,Smoke,420,398,470,545
0024.png,74,99,Smoke,629,447,703,546
0024.png,95,176,Smoke,785,382,880,558
0024.png,107,195,Smoke,992,357,1099,552
0024.png,32,158,Smoke,929,389,961,547
0024.png,29,170,Smoke,1137,364,1166,534
0024.png,145,116,Smoke,1195,430,1340,546
0024.png,151,97,Smoke,1740,463,1891,560
0024.png,65,197,Smoke,1584,423,1649,620
0024.png,57,48,Smoke,1671,579,1728,627
0024.png,34,116,Smoke,1403,435,1437,551
0024.png,76,92,Smoke,1734,311,1810,403
0024.png,48,34,Smoke,559,483,607,517
0024.png,23,113,Smoke,1214,464,1237,577
0024.png,57,57,Smoke,1773,313,1830,370
0025.png,50,147,Smoke,420,398,470,545
0025.png,74,99,Smoke,630,448,704,547
0025.png,95,176,Smoke,786,382,881,558
0025.png,107,195,Smoke,992,357,1099,552
0025.png,32,158,Smoke,929,389,961,547
0025.png,29,170,Smoke,1136,388,1165,558
0025.png,145,116,Smoke,1195,430,1340,546
0025.png,151,97,Smoke,1741,463,1892,560
0025.png,65,197,Smoke,1584,422,1649,619
0025.png,57,48,Smoke,1671,580,1728,628
0025.png,34,116,Smoke,1404,435,1438,551
0025.png,76,92,Smoke,1734,312,1810,404
0025.png,48,34,Smoke,559,483,607,517
0025.png,23,113,Smoke,1214,464,1237,577
0025.png,57,57,Smoke,1773,313,1830,370
0026.png,55,143,Smoke,416,397,471,540
0026.png,74,99,Smoke,631,449,705,548
0026.png,95,176,Smoke,787,383,882,559
0026.png,107,195,Smoke,993,356,1100,551
0026.png,32,158,Smoke,930,389,962,547
0026.png,29,170,Smoke,1137,380,1166,550
0026.png,145,116,Smoke,1196,430,1341,546
0026.png,151,97,Smoke,1742,463,1893,560
0026.png,65,197,Smoke,1585,423,1650,620
0026.png,57,48,Smoke,1672,580,1729,628
0026.png,34,116,Smoke,1405,435,1439,551
0026.png,76,92,Smoke,1736,311,1812,403
0026.png,48,34,Smoke,559,483,607,517
0026.png,23,113,Smoke,1214,464,1237,577
0026.png,57,57,Smoke,1773,313,1830,370
0027.png,55,143,Smoke,416,395,471,538
0027.png,74,99,Smoke,632,448,706,547
0027.png,95,176,Smoke,788,383,883,559
0027.png,107,195,Smoke,995,357,1102,552
0027.png,32,158,Smoke,931,389,963,547
0027.png,29,170,Smoke,1136,412,1165,582
0027.png,145,116,Smoke,1197,429,1342,545
0027.png,151,97,Smoke,1743,463,1894,560
0027.png,65,197,Smoke,1586,423,1651,620
0027.png,57,48,Smoke,1673,579,1730,627
0027.png,34,116,Smoke,1406,436,1440,552
0027.png,76,92,Smoke,1737,311,1813,403
0027.png,48,34,Smoke,559,483,607,517
0027.png,23,113,Smoke,1214,464,1237,577
0027.png,57,57,Smoke,1773,313,1830,370
0028.png,55,143,Smoke,418,396,473,539
0028.png,74,99,Smoke,632,446,706,545
0028.png,95,176,Smoke,789,383,884,559
0028.png,107,195,Smoke,996,357,1103,552
0028.png,32,158,Smoke,932,389,964,547
0028.png,29,170,Smoke,1140,381,1169,551
0028.png,145,116,Smoke,1198,429,1343,545
0028.png,151,97,Smoke,1746,462,1897,559
0028.png,65,197,Smoke,1588,422,1653,619
0028.png,57,48,Smoke,1674,579,1731,627
0028.png,34,116,Smoke,1407,436,1441,552
0028.png,76,92,Smoke,1738,311,1814,403
0028.png,48,34,Smoke,559,483,607,517
0028.png,23,113,Smoke,1214,464,1237,577
0028.png,57,57,Smoke,1773,313,1830,370
0029.png,55,143,Smoke,419,394,474,537
0029.png,74,99,Smoke,634,448,708,547
0029.png,95,176,Smoke,790,382,885,558
0029.png,107,195,Smoke,996,357,1103,552
0029.png,32,158,Smoke,933,388,965,546
0029.png,29,170,Smoke,1141,379,1170,549
0029.png,145,116,Smoke,1199,429,1344,545
0029.png,151,97,Smoke,1747,462,1898,559
0029.png,65,197,Smoke,1588,422,1653,619
0029.png,57,48,Smoke,1675,579,1732,627
0029.png,34,116,Smoke,1408,436,1442,552
0029.png,76,92,Smoke,1739,311,1815,403
0029.png,48,34,Smoke,559,483,607,517
0029.png,23,113,Smoke,1214,464,1237,577
0029.png,57,57,Smoke,1773,313,1830,370
0030.png,55,143,Smoke,420,396,475,539
0030.png,74,99,Smoke,634,449,708,548
0030.png,95,176,Smoke,791,382,886,558
0030.png,107,195,Smoke,998,357,1105,552
0030.png,32,158,Smoke,935,389,967,547
0030.png,29,170,Smoke,1142,379,1171,549
0030.png,145,116,Smoke,1200,430,1345,546
0030.png,151,97,Smoke,1748,462,1899,559
0030.png,65,197,Smoke,1590,422,1655,619
0030.png,57,48,Smoke,1676,579,1733,627
0030.png,34,116,Smoke,1409,436,1443,552
0030.png,76,92,Smoke,1740,311,1816,403
0030.png,48,34,Smoke,559,483,607,517
0030.png,23,113,Smoke,1214,464,1237,577
0030.png,57,57,Smoke,1773,313,1830,370
0031.png,55,143,Smoke,421,395,476,538
0031.png,74,99,Smoke,636,447,710,546
0031.png,95,176,Smoke,792,381,887,557
0031.png,107,195,Smoke,998,357,1105,552
0031.png,32,158,Smoke,935,388,967,546
0031.png,29,170,Smoke,1143,379,1172,549
0031.png,145,116,Smoke,1201,428,1346,544
0031.png,151,97,Smoke,1749,462,1900,559
0031.png,65,197,Smoke,1590,422,1655,619
0031.png,57,48,Smoke,1677,579,1734,627
0031.png,34,116,Smoke,1410,434,1444,550
0031.png,76,92,Smoke,1741,311,1817,403
0031.png,48,34,Smoke,559,483,607,517
0031.png,23,113,Smoke,1214,464,1237,577
0031.png,57,57,Smoke,1773,313,1830,370
0032.png,55,143,Smoke,422,396,477,539
0032.png,74,99,Smoke,637,447,711,546
0032.png,95,176,Smoke,793,382,888,558
0032.png,107,195,Smoke,999,357,1106,552
0032.png,32,158,Smoke,936,390,968,548
0032.png,29,170,Smoke,1143,377,1172,547
0032.png,145,116,Smoke,1202,427,1347,543
0032.png,151,97,Smoke,1750,462,1901,559
0032.png,65,197,Smoke,1591,423,1656,620
0032.png,57,48,Smoke,1678,579,1735,627
0032.png,34,116,Smoke,1411,434,1445,550
0032.png,76,92,Smoke,1742,311,1818,403
0032.png,48,34,Smoke,559,483,607,517
0032.png,23,113,Smoke,1214,464,1237,577
0032.png,57,57,Smoke,1773,313,1830,370
0033.png,55,143,Smoke,423,395,478,538
0033.png,74,99,Smoke,638,447,712,546
0033.png,95,176,Smoke,794,381,889,557
0033.png,107,195,Smoke,999,357,1106,552
0033.png,32,158,Smoke,937,388,969,546
0033.png,29,170,Smoke,1144,387,1173,557
0033.png,145,116,Smoke,1203,427,1348,543
0033.png,151,97,Smoke,1751,463,1902,560
0033.png,65,197,Smoke,1592,423,1657,620
0033.png,57,48,Smoke,1679,579,1736,627
0033.png,34,116,Smoke,1412,434,1446,550
0033.png,76,92,Smoke,1744,311,1820,403
0033.png,48,34,Smoke,559,483,607,517
0033.png,23,113,Smoke,1214,464,1237,577
0033.png,57,57,Smoke,1773,313,1830,370
0034.png,55,143,Smoke,424,397,479,540
0034.png,74,99,Smoke,639,448,713,547
0034.png,95,176,Smoke,797,381,892,557
0034.png,107,195,Smoke,1000,357,1107,552
0034.png,32,158,Smoke,938,388,970,546
0034.png,29,170,Smoke,1143,441,1172,611
0034.png,145,116,Smoke,1204,427,1349,543
0034.png,151,97,Smoke,1752,462,1903,559
0034.png,65,197,Smoke,1593,423,1658,620
0034.png,57,48,Smoke,1680,579,1737,627
0034.png,34,116,Smoke,1413,433,1447,549
0034.png,76,92,Smoke,1745,311,1821,403
0034.png,48,34,Smoke,559,483,607,517
0034.png,23,113,Smoke,1214,464,1237,577
0034.png,57,57,Smoke,1773,313,1830,370
0035.png,55,143,Smoke,425,395,480,538
0035.png,74,99,Smoke,640,448,714,547
0035.png,95,176,Smoke,798,380,893,556
0035.png,107,195,Smoke,1001,357,1108,552
0035.png,32,158,Smoke,939,388,971,546
0035.png,29,170,Smoke,1147,382,1176,552
0035.png,145,116,Smoke,1205,428,1350,544
0035.png,151,97,Smoke,1755,462,1906,559
0035.png,65,197,Smoke,1595,422,1660,619
0035.png,57,48,Smoke,1682,578,1739,626
0035.png,34,116,Smoke,1414,433,1448,549
0035.png,76,92,Smoke,1746,311,1822,403
0035.png,48,34,Smoke,559,483,607,517
0035.png,23,113,Smoke,1214,464,1237,577
0035.png,57,57,Smoke,1773,313,1830,370
0036.png,55,143,Smoke,426,395,481,538
0036.png,74,99,Smoke,643,447,717,546
0036.png,95,176,Smoke,798,388,893,564
0036.png,107,195,Smoke,1003,357,1110,552
0036.png,32,158,Smoke,940,388,972,546
0036.png,29,170,Smoke,1149,378,1178,548
0036.png,145,116,Smoke,1206,427,1351,543
0036.png,151,97,Smoke,1754,462,1905,559
0036.png,65,197,Smoke,1596,423,1661,620
0036.png,57,48,Smoke,1683,578,1740,626
0036.png,34,116,Smoke,1415,433,1449,549
0036.png,76,92,Smoke,1747,311,1823,403
0036.png,48,34,Smoke,559,483,607,517
0036.png,23,113,Smoke,1214,464,1237,577
0036.png,57,57,Smoke,1773,313,1830,370
0037.png,55,143,Smoke,427,395,482,538
0037.png,74,99,Smoke,643,446,717,545
0037.png,95,176,Smoke,799,381,894,557
0037.png,107,195,Smoke,1004,357,1111,552
0037.png,32,158,Smoke,942,388,974,546
0037.png,29,170,Smoke,1149,381,1178,551
0037.png,145,116,Smoke,1207,427,1352,543
0037.png,151,97,Smoke,1757,462,1908,559
0037.png,65,197,Smoke,1597,422,1662,619
0037.png,57,48,Smoke,1684,579,1741,627
0037.png,34,116,Smoke,1416,433,1450,549
0037.png,76,92,Smoke,1748,311,1824,403
0037.png,48,34,Smoke,559,483,607,517
0037.png,23,113,Smoke,1214,464,1237,577
0037.png,57,57,Smoke,1773,313,1830,370
0038.png,55,143,Smoke,428,393,483,536
0038.png,74,99,Smoke,643,446,717,545
0038.png,95,176,Smoke,800,382,895,558
0038.png,107,195,Smoke,1004,357,1111,552
0038.png,32,158,Smoke,943,388,975,546
0038.png,29,170,Smoke,1148,401,1177,571
0038.png,145,116,Smoke,1208,427,1353,543
0038.png,151,97,Smoke,1758,462,1909,559
0038.png,65,197,Smoke,1598,423,1663,620
0038.png,57,48,Smoke,1685,579,1742,627
0038.png,34,116,Smoke,1417,433,1451,549
0038.png,76,92,Smoke,1749,311,1825,403
0038.png,48,34,Smoke,559,483,607,517
0038.png,23,113,Smoke,1214,464,1237,577
0038.png,57,57,Smoke,1773,313,1830,370
0039.png,55,143,Smoke,429,394,484,537
0039.png,74,99,Smoke,645,447,719,546
0039.png,95,176,Smoke,801,381,896,557
0039.png,107,195,Smoke,1006,357,1113,552
0039.png,32,158,Smoke,944,388,976,546
0039.png,29,170,Smoke,1151,374,1180,544
0039.png,145,116,Smoke,1210,428,1355,544
0039.png,151,97,Smoke,1759,462,1910,559
0039.png,65,197,Smoke,1599,422,1664,619
0039.png,57,48,Smoke,1686,578,1743,626
0039.png,34,116,Smoke,1418,433,1452,549
0039.png,76,92,Smoke,1751,311,1827,403
0039.png,48,34,Smoke,559,483,607,517
0039.png,23,113,Smoke,1214,464,1237,577
0039.png,57,57,Smoke,1773,313,1830,370
0040.png,55,143,Smoke,431,394,486,537
0040.png,74,99,Smoke,646,447,720,546
0040.png,95,176,Smoke,803,380,898,556
0040.png,107,195,Smoke,1007,357,1114,552
0040.png,32,158,Smoke,944,388,976,546
0040.png,29,170,Smoke,1152,379,1181,549
0040.png,145,116,Smoke,1211,427,1356,543
0040.png,151,97,Smoke,1760,462,1911,559
0040.png,65,197,Smoke,1601,423,1666,620
0040.png,57,48,Smoke,1687,579,1744,627
0040.png,34,116,Smoke,1419,433,1453,549
0040.png,76,92,Smoke,1752,311,1828,403
0040.png,48,34,Smoke,559,483,607,517
0040.png,23,113,Smoke,1214,464,1237,577
